column_name,source_table,domain,role,allowed_for_bias,candidate_hypotheses,candidate_hypotheses_reason
GEOID,national-census-tract-table,geography,identifier,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
STATEFP,national-census-tract-table,geography,identifier,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
COUNTYFP,national-census-tract-table,geography,identifier,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
state_usps,national-census-tract-table,geography,identifier,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
state_name,national-census-tract-table,geography,identifier,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
ALAND,national-census-tract-table,geography,geometry_measure,True,Tribal Sub-type + Edge Effect; Dispatch-Blind Reachability,tract area/centroid — the raw material for distance-to-boundary edge-effect analysis and a plausible isolation proxy for reachability
AWATER,national-census-tract-table,geography,geometry_measure,True,Tribal Sub-type + Edge Effect; Dispatch-Blind Reachability,tract area/centroid — the raw material for distance-to-boundary edge-effect analysis and a plausible isolation proxy for reachability
INTPTLAT,national-census-tract-table,geography,geometry_measure,True,Tribal Sub-type + Edge Effect; Dispatch-Blind Reachability,tract area/centroid — the raw material for distance-to-boundary edge-effect analysis and a plausible isolation proxy for reachability
INTPTLON,national-census-tract-table,geography,geometry_measure,True,Tribal Sub-type + Edge Effect; Dispatch-Blind Reachability,tract area/centroid — the raw material for distance-to-boundary edge-effect analysis and a plausible isolation proxy for reachability
pop_total,national-census-tract-table,population,population,True,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates"
pop_urban,national-census-tract-table,population,population,True,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates"
pop_rural,national-census-tract-table,population,population,True,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates"
pct_urban,national-census-tract-table,population,population,True,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates"
ur_class,national-census-tract-table,population,population,True,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates"
tract_vintage,national-census-tract-table,geography,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
svi_covered,national-svi-tract-table,svi,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
svi_rank_universe,national-svi-tract-table,svi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material
svi_overall,national-svi-tract-table,svi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material
svi_socioeconomic,national-svi-tract-table,svi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material
svi_household,national-svi-tract-table,svi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material
svi_minority,national-svi-tract-table,svi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material
svi_housing_transport,national-svi-tract-table,svi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material
svi_pop,national-svi-tract-table,svi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,svi-domain measurement — generic vulnerability/hazard covariate raw material
svi_year,national-svi-tract-table,svi,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
cvi_covered,national-cvi-tract-table,cvi,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
cvi_xwalk_coverage,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,cvi-domain measurement — generic vulnerability/hazard covariate raw material
cvi_overall,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,cvi-domain measurement — generic vulnerability/hazard covariate raw material
cvi_baseline,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_climate,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_baseline_health,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_baseline_socioeconomic,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_baseline_infrastructure,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_baseline_environment,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_climate_health,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_climate_socioeconomic,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_climate_extreme_events,national-cvi-tract-table,cvi,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; CVI Pillar Decomposition,"cvi-domain measurement — generic vulnerability/hazard covariate raw material; also a specific CVI pillar/sub-score column, feeding CVI Pillar Decomposition directly"
cvi_source_vintage,national-cvi-tract-table,cvi,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
ruca_covered,national-ruca-tract-table,rurality,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
ruca_primary,national-ruca-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; RUCA/RUCC/NCHS Disagreement,"rurality-domain measurement — generic vulnerability/hazard covariate raw material; also one of the three rurality classification systems being compared, feeding RUCA/RUCC/NCHS Disagreement directly"
ruca_primary_desc,national-ruca-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; RUCA/RUCC/NCHS Disagreement,"rurality-domain measurement — generic vulnerability/hazard covariate raw material; also one of the three rurality classification systems being compared, feeding RUCA/RUCC/NCHS Disagreement directly"
ruca_secondary,national-ruca-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; RUCA/RUCC/NCHS Disagreement,"rurality-domain measurement — generic vulnerability/hazard covariate raw material; also one of the three rurality classification systems being compared, feeding RUCA/RUCC/NCHS Disagreement directly"
ruca_pop_density,national-ruca-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability,rurality-domain measurement — generic vulnerability/hazard covariate raw material
ruca_year,national-ruca-tract-table,rurality,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
rucc_covered,national-rucc-tract-table,rurality,coverage_flag,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
rucc_2023,national-rucc-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; RUCA/RUCC/NCHS Disagreement,"rurality-domain measurement — generic vulnerability/hazard covariate raw material; also one of the three rurality classification systems being compared, feeding RUCA/RUCC/NCHS Disagreement directly"
rucc_desc,national-rucc-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; RUCA/RUCC/NCHS Disagreement,"rurality-domain measurement — generic vulnerability/hazard covariate raw material; also one of the three rurality classification systems being compared, feeding RUCA/RUCC/NCHS Disagreement directly"
rucc_metro,national-rucc-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; RUCA/RUCC/NCHS Disagreement,"rurality-domain measurement — generic vulnerability/hazard covariate raw material; also one of the three rurality classification systems being compared, feeding RUCA/RUCC/NCHS Disagreement directly"
rucc_year,national-rucc-tract-table,rurality,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
nchs_covered,national-nchs-tract-table,rurality,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
nchs_2013,national-nchs-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; RUCA/RUCC/NCHS Disagreement,"rurality-domain measurement — generic vulnerability/hazard covariate raw material; also one of the three rurality classification systems being compared, feeding RUCA/RUCC/NCHS Disagreement directly"
nchs_2013_label,national-nchs-tract-table,rurality,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; RUCA/RUCC/NCHS Disagreement,"rurality-domain measurement — generic vulnerability/hazard covariate raw material; also one of the three rurality classification systems being compared, feeding RUCA/RUCC/NCHS Disagreement directly"
nchs_year,national-nchs-tract-table,rurality,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
tribal_any,national-tribal-tract-table,tribal,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material
tribal_pct,national-tribal-tract-table,tribal,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material
tribal_legal,national-tribal-tract-table,tribal,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material
tribal_legal_pct,national-tribal-tract-table,tribal,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material
tribal_statistical,national-tribal-tract-table,tribal,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material
tribal_stat_pct,national-tribal-tract-table,tribal,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material
aiannh_geoid,national-tribal-tract-table,tribal,identity_metadata,True,Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,"identity-metadata column matched by an explicit, named per-column rule (see module docstring)"
aiannh_name,national-tribal-tract-table,tribal,identity_metadata,True,Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,"identity-metadata column matched by an explicit, named per-column rule (see module docstring)"
aiannh_kind,national-tribal-tract-table,tribal,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance; Dispatch-Blind Reachability; Tribal Sub-type + Edge Effect; Population Exposure vs. Disparity,tribal-domain measurement — generic vulnerability/hazard covariate raw material
usdm_covered,national-usdm-drought-tract-table,drought,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
usdm_summer_dsci,national-usdm-drought-tract-table,drought,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material
usdm_summer_pct_d0plus,national-usdm-drought-tract-table,drought,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material
usdm_summer_pct_d2plus,national-usdm-drought-tract-table,drought,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material
usdm_winter_dsci,national-usdm-drought-tract-table,drought,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material
usdm_winter_pct_d0plus,national-usdm-drought-tract-table,drought,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material
usdm_winter_pct_d2plus,national-usdm-drought-tract-table,drought,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,drought-domain measurement — generic vulnerability/hazard covariate raw material
usdm_year_min,national-usdm-drought-tract-table,drought,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
usdm_year_max,national-usdm-drought-tract-table,drought,vintage_metadata,False,,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain"
usfs_covered,national-usfs-wildfire-tract-table,wildfire,coverage_flag,True,Measurement Eligibility Bias,a <source>_covered flag — whether this strata source has data for a tract at all is exactly what Measurement Eligibility Bias asks
usfs_BP_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_CFL_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_CRPS_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_RPS_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_WHP_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_Exposure_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_FLEP4_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_FLEP8_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_CWiRRZ_majority_label,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_CWiRRZ_majority_zone4_label,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_BuildingCount_sum,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_BuildingCover_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_BuildingDensity_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_HUCount_sum,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
usfs_HUDen_mean,national-usfs-wildfire-tract-table,wildfire,measurement,True,Measurement Eligibility Bias; Source Provenance x Vulnerability; Component Dominance,wildfire-domain measurement — generic vulnerability/hazard covariate raw material
