column_name,source_table,domain,dtype,role,n_distinct_national,allowed_for_scoring,scoring_reason,allowed_for_bias,bias_reason
GEOID,national-census-tract-table,geography,string,identifier,85396,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal"
STATEFP,national-census-tract-table,geography,string,identifier,52,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal"
COUNTYFP,national-census-tract-table,geography,string,identifier,330,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal"
state_usps,national-census-tract-table,geography,string,identifier,52,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal"
state_name,national-census-tract-table,geography,string,identifier,52,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal"
ALAND,national-census-tract-table,geography,int64,geometry_measure,84765,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"tract land area/water area/centroid — usable as a rurality/isolation proxy or for spatial statistics (Moran's I, Getis-Ord Gi*)"
AWATER,national-census-tract-table,geography,int64,geometry_measure,49221,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"tract land area/water area/centroid — usable as a rurality/isolation proxy or for spatial statistics (Moran's I, Getis-Ord Gi*)"
INTPTLAT,national-census-tract-table,geography,string,geometry_measure,85373,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"tract land area/water area/centroid — usable as a rurality/isolation proxy or for spatial statistics (Moran's I, Getis-Ord Gi*)"
INTPTLON,national-census-tract-table,geography,string,geometry_measure,85386,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"tract land area/water area/centroid — usable as a rurality/isolation proxy or for spatial statistics (Moran's I, Getis-Ord Gi*)"
pop_total,national-census-tract-table,population,int64,population,8408,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic
pop_urban,national-census-tract-table,population,int64,population,8624,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic
pop_rural,national-census-tract-table,population,int64,population,5990,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic
pct_urban,national-census-tract-table,population,double,population,21956,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic
ur_class,national-census-tract-table,population,string,population,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic
tract_vintage,national-census-tract-table,geography,int64,vintage_metadata,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
svi_covered,national-svi-tract-table,svi,bool,coverage_flag,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)"
svi_rank_universe,national-svi-tract-table,svi,string,measurement,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
svi_overall,national-svi-tract-table,svi,double,measurement,10001,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
svi_socioeconomic,national-svi-tract-table,svi,double,measurement,9997,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
svi_household,national-svi-tract-table,svi,double,measurement,9919,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
svi_minority,national-svi-tract-table,svi,double,measurement,1064,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
svi_housing_transport,national-svi-tract-table,svi,double,measurement,9861,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
svi_pop,national-svi-tract-table,svi,double,measurement,8577,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
svi_year,national-svi-tract-table,svi,int64,vintage_metadata,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
cvi_covered,national-cvi-tract-table,cvi,bool,coverage_flag,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)"
cvi_xwalk_coverage,national-cvi-tract-table,cvi,double,measurement,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_overall,national-cvi-tract-table,cvi,double,measurement,76853,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_baseline,national-cvi-tract-table,cvi,double,measurement,76937,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_climate,national-cvi-tract-table,cvi,double,measurement,76527,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_baseline_health,national-cvi-tract-table,cvi,double,measurement,76876,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_baseline_socioeconomic,national-cvi-tract-table,cvi,double,measurement,76814,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_baseline_infrastructure,national-cvi-tract-table,cvi,double,measurement,76852,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_baseline_environment,national-cvi-tract-table,cvi,double,measurement,76948,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_climate_health,national-cvi-tract-table,cvi,double,measurement,75269,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_climate_socioeconomic,national-cvi-tract-table,cvi,double,measurement,76667,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_climate_extreme_events,national-cvi-tract-table,cvi,double,measurement,73249,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
cvi_source_vintage,national-cvi-tract-table,cvi,int64,vintage_metadata,1,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"constant across all tracts nationally (n_distinct=1) — carries no discriminative signal for any bias analysis, regardless of role"
ruca_covered,national-ruca-tract-table,rurality,bool,coverage_flag,2,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"central to Measurement Eligibility Bias analysis (whether a hazard/vulnerability measurement exists for a tract at all, cross-tabulated against SVI/tribal/rurality/hazard exposure)"
ruca_primary,national-ruca-tract-table,rurality,double,measurement,11,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
ruca_primary_desc,national-ruca-tract-table,rurality,string,measurement,11,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
ruca_secondary,national-ruca-tract-table,rurality,double,measurement,22,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
ruca_pop_density,national-ruca-tract-table,rurality,double,measurement,50712,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,a substantive per-tract measurement with real variance nationally
