column_name,national_position,dtype,source_table,domain,attribution_method,n_null,pct_null,n_distinct,min,max,mean,sentinel_note,role,allowed_for_scoring,scoring_reason,allowed_for_bias,bias_reason,candidate_hypotheses,candidate_hypotheses_reason,present_in_regions,missing_from_regions,present_in_all_four_regions,region_only,profile_scope,vintage_status,vintage_note
GEOID,0,string,national-census-tract-table,geography,shared-backbone,0,0.0,85396,,,,,identifier,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
STATEFP,1,string,national-census-tract-table,geography,shared-backbone,0,0.0,52,,,,,identifier,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
COUNTYFP,2,string,national-census-tract-table,geography,shared-backbone,0,0.0,330,,,,,identifier,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
state_usps,3,string,national-census-tract-table,geography,shared-backbone,0,0.0,52,,,,,identifier,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",,eastern-ok;maricopa-az;northern-ca;south-central-tx,False,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
state_name,4,string,national-census-tract-table,geography,unambiguous,0,0.0,52,,,,,identifier,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",False,"a join/reference key, not itself a vulnerability or hazard signal",,"allowed_for_bias=False (Step 5) — not usable for any bias-discovery hypothesis, regardless of role or domain",,eastern-ok;maricopa-az;northern-ca;south-central-tx,False,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
ALAND,5,int64,national-census-tract-table,geography,shared-backbone,0,0.0,84765,0.0,221506333133.0,107275916.46876904,,geometry_measure,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"tract land area/water area/centroid — usable as a rurality/isolation proxy or for spatial statistics (Moran's I, Getis-Ord Gi*)",Tribal Sub-type + Edge Effect; Dispatch-Blind Reachability,tract area/centroid — the raw material for distance-to-boundary edge-effect analysis and a plausible isolation proxy for reachability,eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
AWATER,6,int64,national-census-tract-table,geography,shared-backbone,0,0.0,49221,0.0,25676773493.0,8220781.737950255,,geometry_measure,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"tract land area/water area/centroid — usable as a rurality/isolation proxy or for spatial statistics (Moran's I, Getis-Ord Gi*)",Tribal Sub-type + Edge Effect; Dispatch-Blind Reachability,tract area/centroid — the raw material for distance-to-boundary edge-effect analysis and a plausible isolation proxy for reachability,,eastern-ok;maricopa-az;northern-ca;south-central-tx,False,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
INTPTLAT,7,string,national-census-tract-table,geography,shared-backbone,0,0.0,85373,,,,,geometry_measure,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"tract land area/water area/centroid — usable as a rurality/isolation proxy or for spatial statistics (Moran's I, Getis-Ord Gi*)",Tribal Sub-type + Edge Effect; Dispatch-Blind Reachability,tract area/centroid — the raw material for distance-to-boundary edge-effect analysis and a plausible isolation proxy for reachability,,eastern-ok;maricopa-az;northern-ca;south-central-tx,False,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
INTPTLON,8,string,national-census-tract-table,geography,shared-backbone,0,0.0,85386,,,,,geometry_measure,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,"tract land area/water area/centroid — usable as a rurality/isolation proxy or for spatial statistics (Moran's I, Getis-Ord Gi*)",Tribal Sub-type + Edge Effect; Dispatch-Blind Reachability,tract area/centroid — the raw material for distance-to-boundary edge-effect analysis and a plausible isolation proxy for reachability,,eastern-ok;maricopa-az;northern-ca;south-central-tx,False,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
pop_total,9,int64,national-census-tract-table,population,unambiguous,0,0.0,8408,0.0,37892.0,3919.798995269099,,population,False,"national-strata-tract-table lives entirely under strata/ (the Bias API stratification datasets), never under reference/ (the map data actually scored). The challenge's own rule — the scored coverage-gap computation must use only the datasets provided for the challenge — means no column from this table may influence the submitted coverage-gap number, regardless of its role.",True,base population/urban-rural figures — directly needed for population-weighting critiques of any tract-mean disparity statistic,Population Exposure vs. Disparity; Component Dominance; Dispatch-Blind Reachability,"base population figures — directly needed for population-weighted disparity, weighted vulnerability crosstabs, and reachability covariates",eastern-ok;maricopa-az;northern-ca;south-central-tx,,True,False,"national (85,396 tracts)",confirmed,tract_vintage=2020 matches the 2020 TIGER/Line Census tract boundaries and P.L. 94-171 population base.
